epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,2962.6,0.76083,0.51121,1.07917,0.55479,0.36493,0.41214,0.16827,2.74068,2.66379,3.16172,0.000385515,0.000385515,0.000385515
128,2985.75,0.75589,0.50306,1.07076,0.47546,0.32396,0.38013,0.17633,2.70313,2.67679,3.14165,0.000376625,0.000376625,0.000376625
129,3008.91,0.75303,0.48716,1.07072,0.5068,0.34317,0.39755,0.16362,2.65178,2.87487,3.0691,0.000367799,0.000367799,0.000367799
130,3032.03,0.76027,0.50786,1.07282,0.60593,0.29282,0.37224,0.16427,2.57865,2.85172,3.01244,0.000359038,0.000359038,0.000359038
131,3055.16,0.73439,0.49103,1.06077,0.45196,0.38551,0.42765,0.1737,2.65756,2.56835,3.09765,0.000350343,0.000350343,0.000350343
132,3078.33,0.74974,0.50073,1.07305,0.47431,0.38123,0.39401,0.16188,2.711,2.71312,3.05121,0.000341718,0.000341718,0.000341718
133,3101.41,0.72211,0.47932,1.06653,0.54142,0.35647,0.37876,0.16243,2.64245,2.83187,2.95374,0.000333165,0.000333165,0.000333165
134,3124.44,0.74087,0.49175,1.0772,0.63089,0.36126,0.39525,0.19197,2.59878,2.66195,2.9431,0.000324685,0.000324685,0.000324685
135,3147.56,0.74949,0.49172,1.06217,0.64686,0.36404,0.41564,0.17404,2.62972,2.72396,2.93373,0.000316281,0.000316281,0.000316281
136,3170.63,0.74659,0.49367,1.07407,0.60199,0.38119,0.41598,0.17487,2.57589,2.64587,3.03376,0.000307954,0.000307954,0.000307954
137,3193.68,0.7607,0.50092,1.07745,0.4829,0.35171,0.37443,0.14967,2.56929,2.77502,2.90286,0.000299707,0.000299707,0.000299707
138,3216.69,0.72304,0.47877,1.05543,0.46798,0.39324,0.40559,0.17373,2.62492,2.67719,3.01338,0.000291542,0.000291542,0.000291542
139,3239.77,0.72497,0.47944,1.05742,0.5205,0.39477,0.40911,0.19692,2.55064,2.71486,2.89641,0.000283461,0.000283461,0.000283461
140,3262.92,0.7289,0.48321,1.06803,0.5373,0.39598,0.42712,0.17549,2.63809,2.6575,3.09736,0.000275466,0.000275466,0.000275466
141,3286.13,0.72805,0.48347,1.06212,0.59113,0.4029,0.4323,0.17634,2.64286,2.82763,3.05614,0.000267558,0.000267558,0.000267558
142,3309.3,0.71879,0.473,1.05758,0.44886,0.45658,0.42758,0.18912,2.58969,2.53217,2.95077,0.00025974,0.00025974,0.00025974
143,3332.44,0.72094,0.46669,1.05666,0.4311,0.41891,0.43709,0.18218,2.61211,2.5587,3.01172,0.000252014,0.000252014,0.000252014
144,3355.59,0.71514,0.47325,1.06017,0.52717,0.42122,0.43409,0.18451,2.58186,2.5393,2.92537,0.000244381,0.000244381,0.000244381
145,3378.8,0.71511,0.46147,1.04192,0.56363,0.40609,0.41882,0.19319,2.55574,2.73258,2.94997,0.000236844,0.000236844,0.000236844
146,3401.91,0.71561,0.47247,1.05598,0.47615,0.44749,0.41809,0.17108,2.67807,2.7075,3.06655,0.000229404,0.000229404,0.000229404
